add_date,name,points,slot,bench,teamId,abbrev,id,location,nickname,owners,fullname,division
2021-09-07,Browns D/ST,0,16,0,6,HOWE,6,KC,Gophers,NA,KC Gophers,Hot Dish
2021-09-07,Jason Sanders,6,17,0,6,HOWE,6,KC,Gophers,NA,KC Gophers,Hot Dish
2021-09-07,Travis Kelce,22.6,6,0,7,CapC,7,Captain,Clairvoyant,NA,Captain Clairvoyant,Grits
2021-09-07,Jonathan Taylor,14.600000000000001,2,0,7,CapC,7,Captain,Clairvoyant,NA,Captain Clairvoyant,Grits
2021-09-07,Keenan Allen,14.5,4,0,7,CapC,7,Captain,Clairvoyant,NA,Captain Clairvoyant,Grits
2021-09-07,D'Andre Swift,21.4,2,0,7,CapC,7,Captain,Clairvoyant,NA,Captain Clairvoyant,Grits
2021-09-07,Tee Higgins,13.8,4,0,7,CapC,7,Captain,Clairvoyant,NA,Captain Clairvoyant,Grits
2021-09-07,Robby Anderson,13.2,23,1,7,CapC,7,Captain,Clairvoyant,NA,Captain Clairvoyant,Grits
2021-09-07,Odell Beckham Jr.,0,20,1,7,CapC,7,Captain,Clairvoyant,NA,Captain Clairvoyant,Grits
2021-09-07,Myles Gaskin,10.100000000000001,20,1,7,CapC,7,Captain,Clairvoyant,NA,Captain Clairvoyant,Grits
2021-09-07,Tom Brady,27.16,0,0,7,CapC,7,Captain,Clairvoyant,NA,Captain Clairvoyant,Grits
2021-09-07,Baker Mayfield,12.639999999999999,20,1,7,CapC,7,Captain,Clairvoyant,NA,Captain Clairvoyant,Grits
2021-09-07,Jaylen Waddle,14.100000000000001,20,1,7,CapC,7,Captain,Clairvoyant,NA,Captain Clairvoyant,Grits
2021-09-07,Tyler Higbee,9.3,20,1,7,CapC,7,Captain,Clairvoyant,NA,Captain Clairvoyant,Grits
2021-09-07,Mecole Hardman,3.75,20,1,7,CapC,7,Captain,Clairvoyant,NA,Captain Clairvoyant,Grits
2021-09-07,Trey Sermon,0,20,1,7,CapC,7,Captain,Clairvoyant,NA,Captain Clairvoyant,Grits
2021-09-07,Younghoe Koo,6,17,0,7,CapC,7,Captain,Clairvoyant,NA,Captain Clairvoyant,Grits
2021-09-07,Vikings D/ST,4,16,0,7,CapC,7,Captain,Clairvoyant,NA,Captain Clairvoyant,Grits
2021-09-07,Josh Allen,17.200000000000003,0,0,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits
2021-09-07,Aaron Jones,3.2,2,0,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits
2021-09-07,CeeDee Lamb,20.5,4,0,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits
2021-09-07,Miles Sanders,15.3,2,0,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits
2021-09-07,Kyle Pitts,5.1,6,0,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits
2021-09-07,Kyler Murray,33.56,20,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits
2021-09-07,Chase Claypool,8.5,4,0,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits
2021-09-07,Harrison Butker,10,17,0,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits
2021-09-07,Steelers D/ST,13,16,0,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits
2021-09-07,Deebo Samuel,28.400000000000002,23,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits
2021-09-07,Michael Thomas,0,21,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits
2021-09-07,AJ Dillon,3.1000000000000005,20,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits
2021-09-07,Henry Ruggs III,7.250000000000001,20,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits
2021-09-07,Alexander Mattison,1.1,20,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits
2021-09-07,Cole Beasley,10,20,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits
2021-09-08,Dolphins D/ST,4,20,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits
2021-09-07,Dalvin Cook,17.400000000000002,2,0,9,PG,10,Pigskin on,the Gridiron,NA,Pigskin on  the Gridiron,Grits
2021-09-07,Antonio Gibson,10.3,2,0,9,PG,10,Pigskin on,the Gridiron,NA,Pigskin on  the Gridiron,Grits
2021-09-07,Darren Waller,21.5,6,0,9,PG,10,Pigskin on,the Gridiron,NA,Pigskin on  the Gridiron,Grits
2021-09-07,Mike Evans,3.9000000000000004,4,0,9,PG,10,Pigskin on,the Gridiron,NA,Pigskin on  the Gridiron,Grits
2021-09-07,Cooper Kupp,21.3,4,0,9,PG,10,Pigskin on,the Gridiron,NA,Pigskin on  the Gridiron,Grits
2021-09-07,Russell Wilson,27.06,0,0,9,PG,10,Pigskin on,the Gridiron,NA,Pigskin on  the Gridiron,Grits
2021-09-07,Brandin Cooks,15.700000000000001,20,1,9,PG,10,Pigskin on,the Gridiron,NA,Pigskin on  the Gridiron,Grits
2021-09-07,Tyler Boyd,4.7,20,1,9,PG,10,Pigskin on,the Gridiron,NA,Pigskin on  the Gridiron,Grits
2021-09-07,Kenyan Drake,9.5,20,1,9,PG,10,Pigskin on,the Gridiron,NA,Pigskin on  the Gridiron,Grits
2021-09-07,Leonard Fournette,8.4,23,1,9,PG,10,Pigskin on,the Gridiron,NA,Pigskin on  the Gridiron,Grits
2021-09-07,Joe Burrow,18.64,20,1,9,PG,10,Pigskin on,the Gridiron,NA,Pigskin on  the Gridiron,Grits
2021-09-07,Bills D/ST,4,20,1,9,PG,10,Pigskin on,the Gridiron,NA,Pigskin on  the Gridiron,Grits
2021-09-07,Broncos D/ST,7,16,0,9,PG,10,Pigskin on,the Gridiron,NA,Pigskin on  the Gridiron,Grits
2021-09-07,Michael Pittman Jr.,4.4,20,1,9,PG,10,Pigskin on,the Gridiron,NA,Pigskin on  the Gridiron,Grits
2021-09-07,Brandon McManus,9,17,0,9,PG,10,Pigskin on,the Gridiron,NA,Pigskin on  the Gridiron,Grits
2021-09-09,Ty'Son Williams,16.9,20,1,9,PG,10,Pigskin on,the Gridiron,NA,Pigskin on  the Gridiron,Grits
2021-09-07,Alvin Kamara,16.6,23,1,10,JAH,12,Jumpin',Jaheims,NA,Jumpin' Jaheims,Grits
2021-09-07,Najee Harris,5.4,2,0,10,JAH,12,Jumpin',Jaheims,NA,Jumpin' Jaheims,Grits
